"","sid","depth","minProbe","minProbeDate","maxProbe","maxProbeDate","thickness","modLL","modDUL","slgaLL","slgaDUL"
"96","opSID_40106",700,50.7313927083333,2016-09-24,61.4111833333333,2021-01-26,100,0.191297496244797,0.330206243065486,0.171841233646985,0.311792325701823
"97","opSID_40106",800,43.035115625,2016-09-24,51.7652729166667,2019-03-05,100,0.192980207350608,0.333055650821164,0.170406652156449,0.307335450612699
"98","opSID_40106",900,31.9148885416667,2016-09-25,38.944765625,2019-03-06,100,0.193456791466045,0.333521808295845,0.168867937311742,0.303278627024774
"99","opSID_40106",1000,24.3679697916667,2016-09-26,29.86025,2021-01-27,100,0.192727248591107,0.331604715489531,0.167225089112864,0.299621854938048
"100","opSID_40107",100,0.002690625,2017-09-24,23.7226083333333,2018-08-06,100,0.0768349576384294,0.270091444028928,0.0709698332144015,0.234490296290872
"101","opSID_40107",200,12.5029736842105,2016-11-15,35.67035625,2018-10-17,100,0.093503358001552,0.269937738526969,0.0740513928159948,0.226875341922601
"102","opSID_40107",300,17.394528125,2017-10-31,32.6625292134831,2018-11-02,100,0.107185935221867,0.266530598842054,0.0762726799065374,0.222472113057307
"103","opSID_40107",400,13.263209375,2016-12-19,29.04613125,2018-11-04,100,0.1154210083103,0.256897880985207,0.0771116678171044,0.220370740528473
"104","opSID_40107",500,13.5902260416667,2016-12-23,27.6910260416667,2018-11-04,100,0.120602806698623,0.251499065525182,0.0775790556560367,0.21885867473455
"105","opSID_40107",600,16.2218072916667,2016-12-31,27.4810822916667,2019-08-23,100,0.122751620466769,0.250422792127816,0.0776834086700151,0.217921402543322
"106","opSID_40107",700,20.5128197916667,2018-07-04,29.326321875,2017-08-07,100,0.123054679998641,0.251229962441732,0.0776554399505745,0.217358616512619
"107","opSID_40107",800,24.9756354166667,2017-01-05,33.3722083333333,2017-08-07,100,0.123241530791781,0.250367322078508,0.0778312500508145,0.216878510739039
"108","opSID_40107",900,23.367090625,2016-09-25,30.417215625,2017-08-07,100,0.123326830011423,0.247804758712817,0.0782136872805073,0.216478612291197
"109","opSID_40107",1000,23.765025,2018-08-13,29.942015625,2019-08-23,100,0.123310577657566,0.243542272344661,0.0788027516396528,0.216158921169091
"110","opSID_40108",100,1.123490625,2019-12-30,17.4687270833333,2017-11-23,100,0.0559343535338975,0.24393960611649,0.0835158365440453,0.23697258549584
"111","opSID_40108",200,11.47924375,2017-06-04,42.9000395833333,2020-10-08,100,0.076607850995357,0.251610100503327,0.090960319593149,0.238743379079741
"112","opSID_40108",300,11.5653833333333,2017-06-04,31.3216708333333,2020-10-08,100,0.097448806787164,0.254272039978166,0.0953848020276498,0.240011001309229
